SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.010492803,79,0,0.005851756,3075.0,7,0,0,0,0.0
0,0.8803304059999999,43,0,1.163255593,2100.0,6,0,0,0,3.0
1,0.132325257,76,0,0.150978656,10166.0,8,0,2,1,0.0
1,1.108420351,48,0,0.16522041,2880.0,4,2,0,2,2.0
1,0.917728652,55,2,1.1302485,3500.0,13,0,1,1,1.0
0,0.9999998999999999,61,0,0.18165225,12600.0,4,0,3,0,1.0
0,0.34878307299999994,49,0,0.418032787,8783.0,12,0,1,0,0.0
0,0.09150294,27,0,0.119875569,9000.0,9,0,0,0,0.0
1,0.989608522,60,1,0.5956258720000001,2148.0,6,0,1,0,0.0
0,0.584367001,48,0,0.386845906,9000.0,14,0,2,0,2.0
1,0.026135401000000003,49,0,2.7401651289999998,2058.0,11,0,3,0,1.0
0,0.120172432,54,0,0.512240515,6984.0,7,0,4,0,1.0
1,0.8311688309999999,33,0,0.287884846,2500.0,3,1,0,0,0.0
1,0.070404172,64,1,0.40870501,8362.0,8,0,2,0,5.0
0,0.052734478,50,0,0.291064449,11000.0,15,0,1,0,2.0
1,0.501214074,62,1,0.330667333,4000.0,17,0,0,1,0.0
1,0.9999998999999999,40,1,0.125968508,4000.0,2,0,0,0,0.0
1,0.9999998999999999,26,0,0.168559746,2200.0,3,1,0,0,0.0
1,0.401754744,40,3,0.654822335,6500.0,10,0,4,0,2.0
1,0.8489852309999999,43,0,0.396455083,6600.0,7,0,0,0,2.0
0,0.6876874959999999,32,0,0.369941615,9933.0,9,0,2,0,3.0
0,0.0,61,0,0.384461582,3500.0,4,0,1,0,0.0
0,0.012838802,31,0,0.179975047,3205.0,2,0,0,0,0.0
1,1.001646671,46,5,0.64117941,2000.0,8,0,2,0,0.0
1,0.5557995920000001,32,0,0.43107038700000005,2400.0,12,0,0,0,0.0
0,0.259508838,44,0,0.462627755,8120.0,8,0,1,0,3.0
1,0.9999998999999999,38,0,0.237288136,1415.0,3,0,0,0,2.0
0,0.0014502710000000002,65,0,0.19245061600000002,5112.0,5,0,1,0,0.0
1,0.398956346,52,0,0.321293746,9800.0,10,0,1,0,0.0
1,0.056984455999999996,75,1,0.310189203,5760.0,14,0,1,0,0.0
1,0.9999998999999999,53,0,0.24488304100000002,1367.0,1,0,0,1,0.0
0,0.022443732,44,0,0.0030161359999999996,6630.0,2,0,0,0,0.0
1,0.857544535,56,0,1.21695245,8222.0,14,0,3,0,2.0
